nquest,ar,af,w,bollette,cn,cd,c,ncomp,acom5,pesofit,y,cly,nfigli,figli_etamedia,nfigli_maschi,singleparent,singlemom,madre_lavora,padre_lavora,padre_eta,madre_eta,macroarea,madre_laurea,padre_laurea,padre_servizi,padre_industria,madre_servizi,madre_industria
910338,250000,64594.254,314594.25,,29400,1000,30400,1,5,1.125253,31618.035,7,0,,0,1,0,,1,49,,nord,,0,1,0,,
910350,77000,3600,73650,,40460,850,41310,4,5,1.5214441,41132.828,8,2,6.5,0,0,,1,1,43,45,nord,0,0,1,0,1,0
910351,20000,23255.887,43255.887,2500,22200,800,23000,4,5,1.5207255,25085.24,6,2,11,1,0,,0,1,44,42,nord,0,0,0,1,,
910358,307000,42000,349000,5000,35100,0,35100,4,5,1.5207255,101053.95,10,2,7,1,0,,1,1,46,43,nord,1,1,1,0,1,0
910364,300,1662.7952,1962.7952,,27200,0,27200,4,5,.88140863,20406.094,4,2,18,2,0,,0,1,53,45,nord,0,0,1,0,,
910368,1000,2848.5916,1848.5917,,11400,0,11400,1,5,1.125253,8010.4409,1,0,,0,1,0,,1,45,,nord,,0,0,1,,
910376,1000,5564.5283,6564.5283,5000,10800,0,10800,1,5,1.6491636,18420.396,4,0,,0,1,0,,1,34,,nord,,0,0,1,,
910377,150,0,150,,15800,0,15800,1,5,1.7759567,17400,3,0,,0,1,1,1,,,39,nord,0,,,,1,0
910386,245000,9643.502,254643.5,7000,15000,0,15000,1,5,1.125253,71635.344,10,0,,0,1,0,,1,48,,nord,,0,1,0,,
910394,0,0,-3000,1200,12600,5000,17600,1,5,.60296714,7000,1,0,,0,1,0,,1,60,,nord,,0,0,1,,
910398,200,1635.5973,1835.5973,,19920,0,19920,1,5,.64932525,16405.994,3,0,,0,1,1,1,,,53,nord,0,,,,1,0
910413,122000,2186.7122,74186.711,,27400,0,27400,3,5,1.3783315,40278.758,8,1,6,1,0,,1,1,41,47,nord,0,0,1,0,1,0
910415,0,3307.8425,3307.8425,1500,9600,0,9600,1,5,1.6491636,11012.124,2,0,,0,1,0,,1,34,,nord,,0,0,1,,
